fold,accuracy,precision,recall,f1
1,0.8212290502793296,0.7936507936507936,0.7246376811594203,0.7575757575757576
2,0.8089887640449438,0.75,0.75,0.75
3,0.7921348314606742,0.7313432835820896,0.7205882352941176,0.725925925925926
4,0.8258426966292135,0.7846153846153846,0.75,0.7669172932330827
5,0.8539325842696629,0.8524590163934426,0.7536231884057971,0.8
