model,accuracy,precision,recall,f1
GBoost,0.8406189190885694,0.8269014436665652,0.7398124467178174,0.7804169105288045
LogReg,0.8215303496327915,0.7812193354409344,0.7424978687127025,0.76117594004016
RF_top7,0.8204255853367648,0.7824136956483421,0.739769820971867,0.7600837953469533
RF,0.8136651810934655,0.7658130054025577,0.7426257459505541,0.7538077076749845
