feature,importance
Title,0.17708386443775764
Sex,0.07718596759813626
Pclass,0.056461731525338385
Age,0.028000688631327143
FamilySize,0.026223743696135924
Embarked,0.008325981149004565
TicketPrefix,0.005993516403166869
PassengerId,0.0
Name,0.0
Ticket,0.0
Cabin,0.0
Parch,0.0
Sex_label,0.0
Survived_label,0.0
IsAlone,0.0
AgeBin,-0.00592304764248098
SibSp,-0.010762092950897924
CabinDeck,-0.01203582098502857
FareLog,-0.018043545771047786
Fare,-0.02057403089027902
