fold,accuracy,precision,recall,f1
1,0.8491620111731844,0.8620689655172413,0.7246376811594203,0.7874015748031497
2,0.8595505617977528,0.8307692307692308,0.7941176470588235,0.8120300751879699
3,0.8089887640449438,0.7931034482758621,0.6764705882352942,0.7301587301587301
4,0.8426966292134831,0.8125,0.7647058823529411,0.7878787878787878
5,0.8426966292134831,0.8360655737704918,0.7391304347826086,0.7846153846153846
