fold,accuracy,precision,recall,f1
1,0.8379888268156425,0.8125,0.7536231884057971,0.7819548872180451
2,0.797752808988764,0.7285714285714285,0.75,0.7391304347826086
3,0.8033707865168539,0.7538461538461538,0.7205882352941176,0.7368421052631579
4,0.8033707865168539,0.746268656716418,0.7352941176470589,0.7407407407407407
5,0.8258426966292135,0.7878787878787878,0.7536231884057971,0.7703703703703704
